index,file_index,file_entry_index,run,subrun,event,is_primary,pid,start_point_x,start_point_y,start_point_z,momentum_x,momentum_y,momentum_z,start_dir_x,start_dir_y,start_dir_z,ke
8231,569,1,0,0,578000001,True,1,79.9703369140625,46.03070068359375,791.98193359375,20.17123794555664,-26.956188201904297,27.686355590820312,0.46275395154953,-0.6184093356132507,0.6351603269577026,43.08158938340192
8232,569,2,0,0,578000002,True,1,71.940185546875,49.378692626953125,741.389892578125,12.515300750732422,392.6156005859375,547.7630615234375,0.0185672249644994,0.5824695825576782,0.8126404285430908,673.4853659316069
8235,569,5,0,0,578000005,True,1,217.92236328125,-20.92929077148437,909.4658813476562,-758.7069091796875,-870.93701171875,3341.46875,-0.2145983129739761,-0.2463423162698745,0.945125937461853,3534.6298991827816
8236,569,6,0,0,578000006,True,1,-227.02212524414065,-129.5532989501953,826.8818969726562,957.7952880859376,-882.4955444335938,2624.291015625,0.3269273638725281,-0.3012250363826751,0.8957576751708984,2929.688232421875
8238,569,8,0,0,578000008,True,1,145.1578369140625,51.23870849609375,518.325927734375,-355.4990539550781,-1048.4141845703125,4102.26953125,-0.0836661383509635,-0.2467426210641861,0.9654626250267028,4249.01953125
8239,569,9,0,0,578000009,True,1,201.51080322265625,-36.92529296875,851.4338989257812,556.45751953125,-949.53857421875,9236.0087890625,0.0598254539072513,-0.1020860970020294,0.9929749965667723,9301.3505859375
8240,569,10,0,0,578000010,True,1,-137.44696044921875,54.586700439453125,852.921875,-836.6790771484375,-508.43597412109375,4777.9541015625,-0.1715479493141174,-0.1042468398809433,0.9796447157859802,4877.23095703125
8241,569,11,0,0,578000011,True,1,-232.5458526611328,-123.22930145263672,609.0938720703125,158.87290954589844,-280.47833251953125,222.0186767578125,0.4059000313282013,-0.7165863513946533,0.5672293901443481,390.879221657552
8242,569,12,0,0,578000012,True,1,59.312255859375,-167.49729919433594,818.325927734375,280.7893371582031,145.65524291992188,2568.308349609375,0.1085086315870285,0.0562872178852558,0.9925007224082948,2587.71435546875
8245,570,2,0,0,579000002,True,1,304.0491943359375,12.550704956054688,596.0739135742188,154.91571044921875,-3164.74072265625,22677.61328125,0.0067654992453753,-0.1382109671831131,0.9903796911239624,22892.91305236529
8246,570,3,0,0,579000003,True,1,258.6417236328125,-63.33729553222656,434.3218994140625,612.9756469726562,77.25377655029297,2071.08544921875,0.2836178243160248,0.0357445627450943,0.9582709074020386,2160.6638121507845
8247,570,4,0,0,579000004,True,1,338.32501220703125,74.30270385742188,625.7659301757812,678.1624145507812,-635.4454345703125,2557.5068359375,0.2492210865020752,-0.2335228323936462,0.9398701786994934,2720.0280545218816
8248,570,5,0,0,579000005,True,1,132.881103515625,-174.5653076171875,667.4298706054688,-242.14077758789065,-1410.78466796875,4105.7197265625,-0.0556890070438385,-0.3244608342647552,0.9442583322525024,4347.068012896546
8249,570,6,0,0,579000006,True,1,240.56005859375,-77.47329711914062,735.8098754882812,-810.7428588867188,-656.863525390625,2124.5869140625,-0.3425205647945404,-0.2775100171566009,0.8975900411605835,2366.990234375
8251,570,8,0,0,579000008,True,1,-226.4474029541016,-212.1372985839844,873.0098876953125,390.5706787109375,619.36376953125,6697.42333984375,0.0579711236059665,0.0919301286339759,0.9940765500068665,6736.76596213666
8252,570,9,0,0,579000009,True,1,202.77203369140625,3.994705200195313,549.5739135742188,1344.2706298828125,-921.8746337890624,5385.18896484375,0.2389189600944519,-0.1638459712266922,0.9571166038513184,5625.033232969325
8254,571,1,0,0,580000001,True,1,298.3934326171875,-21.67329406738281,687.5178833007812,444.3831481933594,-747.8639526367188,7665.10107421875,0.0576050542294979,-0.09694504737854,0.9936213493347168,7712.054795821494
8255,571,2,0,0,580000002,True,1,265.8736572265625,-55.525299072265625,590.8659057617188,-691.5244750976562,276.4867248535156,4173.05419921875,-0.1631342619657516,0.065224677324295,0.9844454526901244,4237.551869897726
8256,571,3,0,0,580000003,True,1,-11.791961669921877,-94.58529663085938,454.7818908691406,807.07568359375,129.13385009765625,4162.8154296875,0.1902450025081634,0.0304396115243434,0.9812646508216858,4241.500920212823
8257,571,4,0,0,580000004,True,1,229.08154296875,-177.16929626464844,838.785888671875,460.3876953125,-1230.2359619140625,7221.658203125,0.062721848487854,-0.1676036715507507,0.9838571548461914,7338.64804349462
8258,571,5,0,0,580000005,True,1,-286.6754455566406,-84.91329956054688,895.701904296875,-295.73260498046875,458.2015380859375,463.0159301757813,-0.4133835732936859,0.6404873728752136,0.6472170352935791,714.8632413689377
8259,571,6,0,0,580000006,True,1,-231.14097595214844,-109.83729553222656,906.8618774414062,-511.4847412109375,-509.7185668945313,3473.534423828125,-0.1441696286201477,-0.1436718106269836,0.9790676832199096,3547.22549224514
8260,571,7,0,0,580000007,True,1,-3.04339599609375,-86.029296875,693.8419189453125,708.95068359375,-1021.1939697265624,1943.8016357421875,0.3072590231895447,-0.4425851702690124,0.84244304895401,2306.458961078672
8261,571,8,0,0,580000008,True,1,4.831451416015625,56.818695068359375,543.993896484375,-482.4741516113281,-2493.356689453125,18878.0234375,-0.0253292806446552,-0.1308980584144592,0.9910722374916076,19048.080078125
8262,571,9,0,0,580000009,True,1,-169.68919372558594,11.80670166015625,546.597900390625,-1044.887939453125,255.8299865722656,6714.66845703125,-0.1536533236503601,0.0376204252243042,0.9874083995819092,6800.294921875
8264,571,11,0,0,580000011,True,1,108.71084594726562,-173.07730102539062,553.6658935546875,-109.5273895263672,90.61737823486328,147.6090850830078,-0.534463107585907,0.4421875178813934,0.7202911376953125,204.42142555496363
8265,571,12,0,0,580000012,True,1,144.47137451171875,-202.0933074951172,691.9818725585938,147.90289306640625,-1082.076416015625,2803.04736328125,0.0491650253534317,-0.3596975803375244,0.931772768497467,3008.294921875
8266,571,13,0,0,580000013,True,1,-128.9378662109375,-16.465301513671875,851.0618896484375,-517.031005859375,563.0626220703125,1931.4412841796875,-0.2489057779312133,0.2710660099983215,0.9298221468925476,2076.4555237710083
8267,571,14,0,0,580000014,True,1,-6.651397705078125,-215.4853057861328,480.4498901367188,-59.722801208496094,128.4760284423828,-146.1147003173828,-0.2934421300888061,0.6312543749809265,-0.7179203033447266,203.01049791669757
8268,571,15,0,0,580000015,True,1,26.49530029296875,14.41070556640625,426.1379089355469,858.4783325195312,555.9146728515625,1023.5601196289062,0.5932967066764832,0.3841941356658935,0.7073851823806763,1446.284699865504
8269,572,0,0,0,581000000,True,1,-199.76634216308597,-97.18930053710938,542.1339111328125,59.07208633422852,-1143.3350830078125,1874.2598876953125,0.0268966816365718,-0.520582914352417,0.8533873558044434,2196.25927734375
8270,572,1,0,0,581000001,True,1,-8.327667236328125,-3.445297241210937,699.421875,-127.11993408203124,-2653.159423828125,19604.78515625,-0.0064254207536578,-0.1341069489717483,0.9909459948539734,19783.908203125
8271,572,2,0,0,581000002,True,1,168.0447998046875,-103.8852996826172,732.0899047851562,410.6809387207031,-1162.953369140625,5343.89892578125,0.0748819857835769,-0.2120484560728073,0.9743860363960266,5484.37548828125
8273,572,4,0,0,581000004,True,1,153.2935791015625,14.782699584960938,430.6018981933594,445.2176208496094,-692.62646484375,5843.87109375,0.075440265238285,-0.1173626631498336,0.9902195334434508,5901.59130859375
8274,572,5,0,0,581000005,True,1,-9223372013568.0,-9223372013568.0,-9223372013568.0,28.17493438720703,-519.0264892578125,1539.9708251953125,0.0173349175602197,-0.3193363845348358,0.9474828839302064,1624.8764491525644
8275,572,6,0,0,581000006,True,1,-53.26168823242188,-22.789291381835938,887.517822265625,-343.1409606933594,421.3161315917969,4545.18701171875,-0.0749616846442222,0.0920396298170089,0.9929298162460328,4577.55126953125
8276,572,7,0,0,581000007,True,1,336.2496337890625,-161.91729736328125,829.4859008789062,-507.322509765625,-846.2979125976562,7740.25537109375,-0.0650172308087349,-0.1084594950079917,0.9919724464416504,7800.165344157051
8279,572,10,0,0,581000011,True,1,127.74053955078124,-9.397293090820312,436.9259033203125,-106.62474060058594,850.8477783203125,851.3344116210938,-0.0882408171892166,0.7041471004486084,0.7045497894287109,1207.7526517539425
